specobjid,ra,dec,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1954577957523580928,116.187706,43.65686,18.77189,17.67037,17.08699,16.70649,16.40337
2083067998171588608,237.83015,25.659885,19.07881,17.66369,16.95809,16.61555,16.37203
587828362102204416,190.85928,2.4430232,19.32767,17.76214,16.8579,16.42885,16.16219
2844198888540235776,243.0854,9.9225855,18.85688,17.52709,16.7914,16.48843,16.21148
1071917774625859584,171.63016,58.74123,24.58732,18.29046,16.97894,16.5109,16.30876
2821531075182880768,175.30455,18.576826,18.44051,17.07058,16.26428,15.83525,15.56467
1366942038527862784,140.62251,38.966156,17.81446,15.78741,14.9852,14.54665,14.18218
683488353391241216,216.30908,60.69907,18.55597,16.74165,15.87267,15.46444,15.15537
664433261908355072,228.34206,4.1170053,18.47847,16.74311,15.89358,15.49252,15.20567
2285670877838206976,166.74487,37.630173,18.77539,17.12029,16.22272,15.82298,15.63021
671064971542554624,169.227,63.339165,18.64066,17.56016,16.89393,16.5414,16.32722
2366661739308673024,202.72212,36.822422,17.12067,15.53475,14.81992,14.46054,14.23204
2998341067067123712,197.37303,23.672817,18.57152,17.19469,16.40572,16.01917,15.70393
2039115291484514304,215.21246,9.469491,19.71382,17.85792,16.9247,16.5312,16.24716
1852224422107179008,217.76526,35.52107,17.76736,16.59815,16.47968,16.09916,15.38067
1991832992435169280,189.5673,15.569807,17.50681,15.76038,14.90301,14.47797,14.12944
2910554132261660672,150.21233,17.409788,17.78114,16.37144,16.80526,16.73762,15.37909
1089972855115900928,177.62971,50.543026,17.32653,15.76184,14.97603,14.57089,14.31917
2098837186001528832,112.04241,42.61196,20.07677,18.0557,17.02542,16.48066,16.07267
1473816768291039232,173.43303,55.86623,18.43505,16.51577,15.62836,15.20155,14.88662
2836143866153822208,238.59515,12.07674,17.87839,16.47159,15.89373,15.55035,15.29038
1967062637564946432,157.1588,14.154778,19.6199,17.91737,16.92443,16.5153,16.15527
1968202007109986304,159.15898,14.024103,19.79306,18.50421,16.96121,16.39947,16.2142
1789071494509258752,133.68182,29.318457,19.44073,17.53651,16.62829,16.13634,15.77127
950337901474899968,184.16292,3.8544211,19.25142,17.90305,16.95005,16.52795,16.29629
1997446828240431104,200.98714,15.413652,17.03228,15.58061,14.83392,14.44173,14.2767
2393696525826942976,213.16684,28.02702,19.45716,17.93566,17.03819,16.62017,16.31636
1382751366417508352,180.92833,10.73389,19.30458,17.48178,16.60845,16.17019,15.89102
1334309356556019712,125.697495,4.3180413,19.05156,17.22938,16.35174,15.96065,15.64418
424608886645876736,339.67557,0.78325576,20.02783,18.43601,17.18044,16.58514,16.29122
407642870024005632,263.44104,53.35923,18.94706,17.47753,16.78298,16.3403,16.19312
2039066638094985216,214.77075,8.4674425,18.43138,17.47887,17.04135,16.82131,16.62049
1971587407857870848,166.71901,14.23379,17.21768,15.88589,15.25855,14.91489,14.71841
2374685139679602688,204.88611,33.1492,18.28653,17.13386,16.58556,16.21214,16.02168
1178838139037313024,221.7321,48.947052,19.67378,17.43653,16.46238,16.02509,15.72577
3090637921343006720,213.21266,15.261972,19.17007,17.64941,16.74046,16.25005,15.92249
1306180276241590272,215.05354,56.681087,18.40477,16.62666,16.04221,15.82168,15.57176
1121436208820414464,152.64568,6.167305,17.10072,15.24578,14.42456,14.03216,13.73572
1496324046273406976,226.89769,49.26692,18.28366,17.08102,16.54294,16.2179,15.96504
2221511624454334464,157.4112,37.692463,18.70359,17.04804,16.21792,15.84086,15.55122
3107625930361694208,216.37404,17.552574,19.49167,17.78558,16.9484,16.56398,16.31919
1446867737639938048,207.78854,47.135635,19.30424,17.35768,16.38877,15.93086,15.60366
2271021809124009984,204.54446,27.534681,18.853,17.15833,16.32277,15.94521,15.66441
506689899584317440,136.66623,53.967545,20.67784,18.32709,17.43317,16.99651,16.77533
1537008730229467136,171.81967,44.367645,18.43296,17.10694,16.51884,16.11486,15.96417
2723686359389726720,120.70948,9.93081,19.62979,17.88539,17.03163,16.58953,16.28297
1477284353405904896,176.97804,58.364273,18.25781,17.23727,16.85217,16.65333,16.42561
1496355657232705536,225.60522,49.03907,17.91064,16.95068,16.48168,16.13983,15.9441
2985927585386489856,200.81929,21.301666,17.72353,16.32698,15.81505,15.61906,15.56108
602448018041497600,216.51347,2.7450047,18.43229,17.12123,16.66679,16.49711,16.6942
3341678971891771392,244.41771,17.880388,20.47159,18.21232,17.02902,16.40244,16.27137
2737228763845650432,134.33575,16.725697,19.41925,17.90611,16.90896,16.44914,16.06037
3142501615399888896,224.24689,20.370693,18.30045,16.73927,15.84787,15.37613,15.04433
1983875825325336576,177.98257,14.287544,18.32988,16.98209,16.41438,16.05271,15.86037
1390611500267235328,148.21236,8.126521,19.59936,17.5991,16.42108,15.94251,15.60958
1146213703872440320,181.32304,54.78224,18.42279,16.87295,16.08699,15.67231,15.3647
2660554869315758080,148.75102,20.309807,19.13273,17.18738,16.25724,15.75225,15.35064
1557259811173722112,222.70667,36.19184,17.86117,16.75844,16.41055,16.30093,16.24658
2258704805025310720,195.94987,34.091934,17.89787,16.97201,16.50687,16.33966,16.30314
2015519227951212544,192.04579,8.1572075,17.97301,16.53894,15.98686,15.65862,15.5538
2569370719414675456,133.86142,20.05435,17.38093,16.14423,15.57956,15.34569,15.13275
1396266013690980352,160.38144,9.35077,18.02749,16.70987,16.11941,15.8046,15.58921
2489471135297595392,165.56534,29.123686,17.92562,16.27757,15.45242,15.06902,14.82539
2389223993845508096,210.24467,29.500982,18.1771,16.772,16.14414,15.78911,15.56336
1649491518865565696,205.76074,45.46901,18.91393,17.44055,16.74029,16.36684,16.16467
1378167777939974144,173.56561,8.854032,19.52461,17.80388,16.67199,16.17435,15.85005
957092200733239296,196.6237,4.217517,18.70693,17.6052,17.07529,16.79053,16.55263
1912915814290319360,202.90176,11.217247,18.33158,17.17349,16.59253,16.23335,16.01395
1122619559770089472,153.1167,6.4956064,18.78494,17.30915,16.58976,16.18066,15.94917
2262052000478816256,196.84578,29.401169,17.82744,16.97442,16.65876,16.51922,16.47327
1360126714713237504,128.10902,30.469051,18.98058,17.71048,16.86923,16.46848,16.30422
665489617117538304,228.29495,2.7713568,18.69334,17.41467,16.7046,16.31251,16.04433
2827276293333084160,177.05708,23.523504,18.96968,17.40938,16.62391,16.22878,16.01477
1948992727291029504,243.69337,5.9193926,18.45648,17.25579,16.70208,16.45191,16.43136
374938451679668224,185.26971,-3.322798,19.79327,17.92447,16.9058,16.49378,16.18199
958141410341578752,200.77654,3.971843,18.21086,17.09084,16.64421,16.34106,16.29816
1981690815323334656,131.27043,9.534349,19.17854,17.17353,16.25757,15.77965,15.47078
2001942458488875008,208.22171,14.742161,17.30123,16.29429,15.94124,15.71412,15.62787
711578396596922368,255.75435,37.80935,17.21732,15.70528,14.99102,14.62005,14.34102
